text,label
The lecturer explained the difficult concepts clearly and patiently,positive
I really enjoyed the practical lab and learned a lot,positive
The course materials were organized and easy to follow,positive
Support staff solved my registration issue very quickly,positive
The new library space is quiet comfortable and useful,positive
Feedback on my assignment was detailed and constructive,positive
The online portal worked smoothly throughout the semester,positive
The tutor was friendly helpful and always available,positive
This module improved my confidence in programming,positive
The examples in class made the theory much easier,positive
The workshop was engaging and relevant to my career,positive
I appreciate how quickly the department answered my email,positive
The assessment instructions were clear and fair,positive
The recorded lectures were excellent for revision,positive
Group discussions helped me understand different perspectives,positive
The laboratory equipment was modern and worked perfectly,positive
The course pace was balanced and manageable,positive
I received useful advice during the consultation session,positive
The timetable was convenient and well planned,positive
The careers event connected me with useful employers,positive
The campus facilities are clean and well maintained,positive
The demonstration was excellent and easy to understand,positive
My issue was resolved and I am satisfied with the service,positive
The project was challenging in a good way and very rewarding,positive
The lecture starts at nine in the morning,neutral
The assignment submission closes next Friday,neutral
The course contains ten lectures and five lab sessions,neutral
I attended the orientation session yesterday,neutral
The room was changed from the first floor to the second floor,neutral
The library opens at eight during weekdays,neutral
The class uses Python for the weekly exercises,neutral
The results will be published on the student portal,neutral
There are forty students registered in this module,neutral
The department scheduled a meeting for Monday,neutral
I submitted the form and received a confirmation email,neutral
The lecture recording is available on the learning platform,neutral
The examination lasts two hours,neutral
The module includes an individual project,neutral
The tutor asked us to read chapter four,neutral
The workshop takes place in the main computer laboratory,neutral
Students can borrow three books at a time,neutral
The course coordinator shared an updated timetable,neutral
The survey contains twelve questions,neutral
The next consultation session will be online,neutral
The group has been assigned a presentation date,neutral
I am waiting for the standard confirmation message,neutral
The module page lists the required reading,neutral
The student office is located beside the library,neutral
The lecturer arrived late and rushed through the material,negative
The assignment instructions were confusing and incomplete,negative
The portal crashed and I could not submit my work,negative
My support request has been ignored for two weeks,negative
The classroom was overcrowded hot and uncomfortable,negative
The feedback was vague and did not help me improve,negative
The exam included topics that were never taught,negative
The timetable changes were announced far too late,negative
The lab computers were broken and unusable,negative
I was overcharged and nobody has corrected the payment,negative
The course moves too quickly and I feel completely lost,negative
The lecturer cancelled several classes without explanation,negative
The marking seems inconsistent and unfair,negative
There are not enough resources for the practical work,negative
The application repeatedly fails when I try to log in,negative
The noise in the library makes studying impossible,negative
Staff were dismissive when I asked for assistance,negative
The deadline changed without warning and caused serious stress,negative
My required document is still missing from the system,negative
The group project workload was badly distributed,negative
The recorded audio is unclear and difficult to hear,negative
I cannot access the module materials and feel blocked,negative
The service was slow frustrating and disappointing,negative
The classroom equipment failed during every presentation,negative
